Latsurf,Longsurf,SVM*MASL,ST*MASL,RF*MASL,ERF*MASL
-38.62201875918979,-60.878207650473634,-353.80699150336847,-380.0,-374.966,-372.924
-38.62185558364591,-60.94966343726916,-455.0182434043808,-380.0,-408.954,-428.572
-38.62169240810202,-60.98722914307818,-486.8704468235768,-380.0,-408.954,-428.136
-38.62152923255814,-60.84887630163041,-341.6754562070176,-380.0,-358.12,-348.564
-38.62136605701425,-60.84409002122065,-342.2752429105056,-380.0,-358.012,-347.016
-38.62120288147037,-60.98302057420172,-484.3879139093149,-380.0,-408.954,-427.352
-38.62103970592648,-60.96689156439107,-473.0777426587848,-380.0,-408.954,-426.916
-38.620876530382596,-60.83871277142188,-343.8030098632842,-380.0,-354.486,-345.992
-38.620713354838706,-60.9236853438291,-412.41941487335544,-380.0,-408.954,-425.2
-38.620550179294824,-60.84659618010693,-341.7012189749428,-380.0,-358.12,-345.498
-38.620387003750935,-60.84406213707531,-342.1833675710973,-380.0,-358.012,-345.392
-38.62022382820705,-60.787903867946824,-384.15840369423,-389.0,-371.274,-363.708
-38.62006065266316,-60.9004733302719,-375.77420604325,-380.0,-387.126,-396.268
-38.619897477119274,-60.79686262984196,-376.1807160439732,-389.0,-371.274,-354.8
-38.61973430157539,-60.9793077947021,-479.18904620868017,-380.0,-408.954,-424.708
-38.6195711260315,-60.78499250871257,-387.90600934997224,-389.0,-371.608,-366.15
-38.61940795048762,-60.874941920056244,-348.1204557288887,-380.0,-374.966,-366.66
-38.61924477494373,-60.75417475169106,-410.85516165554776,-389.0,-407.074,-391.132
-38.61908159939985,-60.8457930761459,-341.6027084636818,-380.0,-358.12,-343.498
-38.61891842385596,-60.962319456132185,-463.2256984973793,-380.0,-408.954,-423.604
-38.61875524831208,-60.90012008062848,-372.8290158360108,-380.0,-387.126,-393.828
-38.61859207276819,-60.913294593588574,-391.31001095256823,-380.0,-408.954,-407.932
-38.618428897224305,-60.746545274587675,-415.579053970397,-389.0,-407.074,-395.732
